customer_id,city_tier,recency_days,frequency,monetary
1,Tier2,131,6,6774.69
2,Tier2,202,3,4521.08
3,Tier3,141,2,1561.9360000000001
4,Tier1,183,4,4834.825
5,Tier3,92,1,2921.776
6,Tier2,271,8,3616.33
7,Tier2,168,4,4257.13
8,Tier2,253,1,4472.37
9,Tier1,5,3,8464.75
10,Tier2,281,7,3930.8
11,Tier3,176,4,5811.112000000001
12,Tier1,266,7,6674.8
13,Tier3,146,3,2618.744
14,Tier2,97,2,3162.9
15,Tier2,133,1,6327.06
16,Tier1,140,8,11305.275
17,Tier2,115,3,2705.71
18,Tier3,48,3,5001.696
19,Tier1,215,6,2631.0625
20,Tier2,251,2,3035.1
21,Tier2,236,3,4796.73
22,Tier2,296,4,6099.45
23,Tier2,174,3,5487.65
24,Tier2,238,6,5951.97
25,Tier1,12,3,5872.512500000001
26,Tier3,104,5,4513.008000000001
27,Tier3,257,8,3220.2960000000003
28,Tier1,286,7,8248.6375
29,Tier2,295,2,4393.73
30,Tier3,192,2,2125.552
31,Tier3,127,1,2394.8720000000003
32,Tier3,136,5,3909.0879999999997
33,Tier3,240,3,2268.1200000000003
34,Tier1,225,5,10267.2
35,Tier3,66,6,3185.592
36,Tier3,182,5,2484.8880000000004
37,Tier2,224,2,5091.47
38,Tier2,175,6,6684.99
39,Tier2,86,3,5830.17
40,Tier2,18,2,4565.63
41,Tier2,274,3,4270.64
42,Tier1,58,2,7353.6125
43,Tier1,135,3,9905.6125
44,Tier2,102,4,4611.74
45,Tier2,205,4,5035.11
46,Tier3,265,4,2486.576
47,Tier1,225,5,7795.0
48,Tier3,9,4,956.84
49,Tier3,121,5,1849.128
50,Tier3,196,4,4015.288
51,Tier3,120,3,3103.664
52,Tier1,240,3,6797.8625
53,Tier2,55,4,3165.2
54,Tier1,17,4,4084.3
55,Tier3,222,4,4545.768
56,Tier2,72,9,2601.56
57,Tier2,235,4,4194.53
58,Tier3,96,6,4778.168000000001
59,Tier3,108,5,4045.1120000000005
60,Tier3,82,3,5073.272000000001
61,Tier2,106,6,944.76
62,Tier2,265,5,6182.49
63,Tier2,230,4,5835.71
64,Tier1,179,4,9116.2375
65,Tier3,92,6,2361.136
66,Tier2,122,3,5040.37
67,Tier1,284,2,9404.550000000001
68,Tier3,145,1,6317.080000000001
69,Tier2,117,6,2279.52
70,Tier3,253,7,3811.376
71,Tier3,93,2,2537.88
72,Tier3,224,4,2730.496
73,Tier1,55,3,3492.575
74,Tier1,179,5,2241.0499999999997
75,Tier3,213,6,4226.16
76,Tier3,121,3,2092.2400000000002
77,Tier2,295,4,3589.54
78,Tier2,90,6,6192.3
79,Tier1,139,4,8236.537499999999
80,Tier3,270,6,5669.744000000001
81,Tier1,224,5,3872.7625
82,Tier1,299,3,6277.4
83,Tier2,190,2,3320.39
84,Tier1,167,2,3774.5125000000003
85,Tier3,131,4,4540.536
86,Tier1,121,3,2984.1875
87,Tier1,141,4,2854.5875
88,Tier2,260,3,4577.0
89,Tier2,268,3,7214.57
90,Tier1,226,4,7127.6375
91,Tier2,154,4,4736.55
92,Tier2,240,4,6989.05
93,Tier3,172,4,3557.0640000000003
94,Tier1,73,8,209.58749999999998
95,Tier3,213,5,1813.8000000000002
96,Tier2,56,9,4221.21
97,Tier1,271,5,5140.700000000001
98,Tier1,154,5,6814.712500000001
99,Tier2,17,7,7930.68
100,Tier1,104,3,9910.425
101,Tier2,177,4,3923.4
102,Tier1,241,2,4896.862499999999
103,Tier2,79,5,6000.83
104,Tier2,254,6,6387.34
105,Tier1,82,8,731.0875
106,Tier2,282,5,3744.31
107,Tier3,246,4,4670.664
108,Tier1,220,6,7128.9625
109,Tier3,224,4,2886.0480000000002
110,Tier2,25,2,5748.63
111,Tier3,96,3,2945.896
112,Tier1,299,3,5638.95
113,Tier3,104,5,3089.92
114,Tier2,270,3,7576.09
115,Tier2,172,3,5491.05
116,Tier2,62,4,4264.39
117,Tier1,93,2,12347.85
118,Tier3,177,7,3373.696
119,Tier2,149,6,4810.22
120,Tier1,125,2,4689.7875
121,Tier1,249,4,6738.3375
122,Tier1,270,6,3110.2625
123,Tier2,66,5,4310.94
124,Tier2,93,2,9498.56
125,Tier2,76,5,2426.91
126,Tier2,174,7,6499.12
127,Tier2,177,4,7042.09
128,Tier2,80,5,6285.18
129,Tier1,162,3,2599.0750000000003
130,Tier2,217,4,6202.38
131,Tier1,13,3,5750.0
132,Tier3,7,5,4294.4400000000005
133,Tier3,174,3,5135.752
134,Tier3,151,4,4456.304
135,Tier2,10,6,7874.73
136,Tier3,175,4,4082.224
137,Tier2,84,2,2914.16
138,Tier2,296,4,6312.77
139,Tier1,228,7,2497.3625
140,Tier3,299,2,4849.432
141,Tier3,47,4,3695.4400000000005
142,Tier1,249,4,5477.075
143,Tier1,54,5,5700.8875
144,Tier2,299,3,3002.19
145,Tier3,134,3,4978.904
146,Tier3,256,4,4656.104
147,Tier2,169,3,3345.44
148,Tier2,105,7,5529.11
149,Tier2,279,3,4940.17
150,Tier3,73,2,2580.552
151,Tier3,48,2,3547.592
152,Tier2,154,4,5355.64
153,Tier2,139,4,4037.53
154,Tier3,222,3,2037.5520000000001
155,Tier2,152,4,7616.52
156,Tier3,130,1,4994.6720000000005
157,Tier2,253,3,642.05
158,Tier3,58,4,5321.688
159,Tier3,227,4,2875.096
160,Tier2,213,4,4585.55
161,Tier3,148,5,7206.632000000001
162,Tier1,142,2,4521.1125
163,Tier3,229,7,3546.7760000000003
164,Tier3,106,3,6705.04
165,Tier2,103,3,5280.12
166,Tier2,287,3,3151.51
167,Tier2,95,5,4137.11
168,Tier3,208,4,2975.392
169,Tier3,242,5,3525.536
170,Tier2,101,3,2892.47
171,Tier3,125,7,6954.456
172,Tier2,121,4,3350.97
173,Tier1,70,3,5518.8875
174,Tier2,135,3,3744.56
175,Tier2,271,3,5805.09
176,Tier1,96,8,6946.3125
177,Tier2,81,3,6889.39
178,Tier2,242,4,5550.58
179,Tier3,256,2,2782.7360000000003
180,Tier1,231,1,5742.6375
181,Tier2,145,2,7052.55
182,Tier2,58,1,6503.04
