date,city_tier,category,orders
2023-01-01,Tier1,Sarees,112
2023-01-02,Tier1,Sarees,114
2023-01-03,Tier1,Sarees,123
2023-01-04,Tier1,Sarees,126
2023-01-05,Tier1,Sarees,103
2023-01-06,Tier1,Sarees,99
2023-01-07,Tier1,Sarees,116
2023-01-08,Tier1,Sarees,116
2023-01-09,Tier1,Sarees,112
2023-01-10,Tier1,Sarees,124
2023-01-11,Tier1,Sarees,110
2023-01-12,Tier1,Sarees,103
2023-01-13,Tier1,Sarees,104
2023-01-14,Tier1,Sarees,88
2023-01-15,Tier1,Sarees,96
2023-01-16,Tier1,Sarees,113
2023-01-17,Tier1,Sarees,111
2023-01-18,Tier1,Sarees,119
2023-01-19,Tier1,Sarees,101
2023-01-20,Tier1,Sarees,92
2023-01-21,Tier1,Sarees,118
2023-01-22,Tier1,Sarees,111
2023-01-23,Tier1,Sarees,121
2023-01-24,Tier1,Sarees,108
2023-01-25,Tier1,Sarees,113
2023-01-26,Tier1,Sarees,111
2023-01-27,Tier1,Sarees,96
2023-01-28,Tier1,Sarees,111
2023-01-29,Tier1,Sarees,109
2023-01-30,Tier1,Sarees,119
2023-01-31,Tier1,Sarees,118
2023-02-01,Tier1,Sarees,137
2023-02-02,Tier1,Sarees,111
2023-02-03,Tier1,Sarees,98
2023-02-04,Tier1,Sarees,116
2023-02-05,Tier1,Sarees,105
2023-02-06,Tier1,Sarees,126
2023-02-07,Tier1,Sarees,106
2023-02-08,Tier1,Sarees,108
2023-02-09,Tier1,Sarees,115
2023-02-10,Tier1,Sarees,115
2023-02-11,Tier1,Sarees,112
2023-02-12,Tier1,Sarees,117
2023-02-13,Tier1,Sarees,122
2023-02-14,Tier1,Sarees,112
2023-02-15,Tier1,Sarees,115
2023-02-16,Tier1,Sarees,110
2023-02-17,Tier1,Sarees,119
2023-02-18,Tier1,Sarees,115
2023-02-19,Tier1,Sarees,102
2023-02-20,Tier1,Sarees,130
2023-02-21,Tier1,Sarees,125
2023-02-22,Tier1,Sarees,117
2023-02-23,Tier1,Sarees,121
2023-02-24,Tier1,Sarees,120
2023-02-25,Tier1,Sarees,121
2023-02-26,Tier1,Sarees,112
2023-02-27,Tier1,Sarees,125
2023-02-28,Tier1,Sarees,134
2023-03-01,Tier1,Sarees,135
2023-03-02,Tier1,Sarees,112
2023-03-03,Tier1,Sarees,110
2023-03-04,Tier1,Sarees,104
2023-03-05,Tier1,Sarees,110
2023-03-06,Tier1,Sarees,138
2023-03-07,Tier1,Sarees,146
2023-03-08,Tier1,Sarees,125
2023-03-09,Tier1,Sarees,127
2023-03-10,Tier1,Sarees,116
2023-03-11,Tier1,Sarees,109
2023-03-12,Tier1,Sarees,126
2023-03-13,Tier1,Sarees,146
2023-03-14,Tier1,Sarees,132
2023-03-15,Tier1,Sarees,143
2023-03-16,Tier1,Sarees,94
2023-03-17,Tier1,Sarees,121
2023-03-18,Tier1,Sarees,116
2023-03-19,Tier1,Sarees,120
2023-03-20,Tier1,Sarees,132
2023-03-21,Tier1,Sarees,112
2023-03-22,Tier1,Sarees,126
2023-03-23,Tier1,Sarees,123
2023-03-24,Tier1,Sarees,128
2023-03-25,Tier1,Sarees,111
2023-03-26,Tier1,Sarees,116
2023-03-27,Tier1,Sarees,127
2023-03-28,Tier1,Sarees,144
2023-03-29,Tier1,Sarees,132
2023-03-30,Tier1,Sarees,115
2023-03-31,Tier1,Sarees,119
2023-04-01,Tier1,Sarees,118
2023-04-02,Tier1,Sarees,134
2023-04-03,Tier1,Sarees,125
2023-04-04,Tier1,Sarees,131
2023-04-05,Tier1,Sarees,125
