customer_id,city_tier,recency_days,frequency,monetary,segment,segment_label
1,Tier2,6,9,2853.0,0,Champions
2,Tier3,24,1,221.0,3,New/Low-Value Active
3,Tier2,25,3,850.0,3,New/Low-Value Active
4,Tier2,88,5,3756.0,0,Champions
5,Tier3,1,3,3903.0,0,Champions
6,Tier2,38,2,1520.0,3,New/Low-Value Active
7,Tier2,7,5,2276.0,0,Champions
8,Tier2,23,4,3617.0,0,Champions
9,Tier3,52,1,504.0,3,New/Low-Value Active
10,Tier2,9,3,1611.0,3,New/Low-Value Active
11,Tier3,3,2,160.0,3,New/Low-Value Active
12,Tier3,130,2,836.0,2,Dormant/Churned
13,Tier3,125,1,823.0,2,Dormant/Churned
14,Tier3,0,1,237.0,3,New/Low-Value Active
15,Tier2,81,2,1590.0,3,New/Low-Value Active
16,Tier2,12,5,365.0,0,Champions
17,Tier3,72,3,1835.0,3,New/Low-Value Active
18,Tier3,52,2,279.0,3,New/Low-Value Active
19,Tier2,26,3,1069.0,3,New/Low-Value Active
20,Tier3,119,4,2095.0,2,Dormant/Churned
21,Tier3,37,2,541.0,3,New/Low-Value Active
22,Tier1,35,4,2845.0,0,Champions
23,Tier3,125,5,1210.0,2,Dormant/Churned
24,Tier3,19,3,782.0,3,New/Low-Value Active
25,Tier2,17,5,713.0,0,Champions
26,Tier3,1,4,1626.0,0,Champions
27,Tier2,0,2,540.0,3,New/Low-Value Active
28,Tier3,71,3,388.0,3,New/Low-Value Active
29,Tier3,128,2,876.0,2,Dormant/Churned
30,Tier1,0,3,3238.0,3,New/Low-Value Active
31,Tier3,39,4,934.0,3,New/Low-Value Active
32,Tier3,2,3,1595.0,3,New/Low-Value Active
33,Tier2,23,2,1565.0,3,New/Low-Value Active
34,Tier1,85,4,2926.0,2,Dormant/Churned
35,Tier2,5,4,195.0,3,New/Low-Value Active
36,Tier2,92,6,5706.0,1,At-Risk High-Value
37,Tier3,75,3,3337.0,2,Dormant/Churned
38,Tier2,109,5,174.0,2,Dormant/Churned
39,Tier3,139,5,2133.0,2,Dormant/Churned
40,Tier2,27,4,1450.0,3,New/Low-Value Active
41,Tier1,79,7,5684.0,1,At-Risk High-Value
42,Tier3,87,7,11748.0,1,At-Risk High-Value
43,Tier2,237,5,820.0,2,Dormant/Churned
44,Tier1,114,6,5057.0,2,Dormant/Churned
45,Tier2,7,6,7334.0,1,At-Risk High-Value
46,Tier2,31,2,373.0,3,New/Low-Value Active
47,Tier2,17,5,3161.0,0,Champions
48,Tier2,88,1,179.0,3,New/Low-Value Active
49,Tier3,88,7,6528.0,1,At-Risk High-Value
50,Tier1,64,6,5540.0,1,At-Risk High-Value
51,Tier1,59,6,3218.0,0,Champions
52,Tier2,19,6,3578.0,0,Champions
53,Tier3,32,3,2785.0,3,New/Low-Value Active
54,Tier3,138,4,1753.0,2,Dormant/Churned
55,Tier3,14,3,1051.0,3,New/Low-Value Active
56,Tier2,25,0,0.0,3,New/Low-Value Active
57,Tier3,53,5,3148.0,0,Champions
58,Tier3,20,0,0.0,3,New/Low-Value Active
59,Tier1,18,5,2924.0,0,Champions
60,Tier3,49,2,808.0,3,New/Low-Value Active
61,Tier1,35,10,4073.0,1,At-Risk High-Value
62,Tier3,38,4,2234.0,0,Champions
63,Tier3,43,2,1049.0,3,New/Low-Value Active
64,Tier1,39,5,10093.0,1,At-Risk High-Value
65,Tier2,8,3,1236.0,3,New/Low-Value Active
66,Tier2,83,7,5511.0,1,At-Risk High-Value
67,Tier3,13,2,510.0,3,New/Low-Value Active
68,Tier1,11,9,8117.0,1,At-Risk High-Value
69,Tier1,49,5,3760.0,0,Champions
70,Tier2,59,6,6290.0,1,At-Risk High-Value
71,Tier3,2,2,503.0,3,New/Low-Value Active
72,Tier1,0,4,4881.0,0,Champions
73,Tier2,365,5,3006.0,2,Dormant/Churned
74,Tier1,76,3,2075.0,3,New/Low-Value Active
75,Tier1,12,4,2694.0,0,Champions
76,Tier3,17,5,1378.0,0,Champions
77,Tier2,58,3,1048.0,3,New/Low-Value Active
78,Tier2,11,2,556.0,3,New/Low-Value Active
79,Tier3,3,3,1692.0,3,New/Low-Value Active
80,Tier2,11,7,4513.0,0,Champions
81,Tier3,147,1,133.0,2,Dormant/Churned
82,Tier3,59,3,1193.0,3,New/Low-Value Active
83,Tier3,25,3,340.0,3,New/Low-Value Active
84,Tier2,64,4,862.0,3,New/Low-Value Active
85,Tier2,14,5,762.0,0,Champions
86,Tier3,36,5,2819.0,0,Champions
87,Tier3,28,5,2340.0,0,Champions
88,Tier2,154,3,1901.0,2,Dormant/Churned
89,Tier3,6,2,909.0,3,New/Low-Value Active
90,Tier3,56,3,524.0,3,New/Low-Value Active
91,Tier1,1,6,8755.0,1,At-Risk High-Value
92,Tier3,15,3,1569.0,3,New/Low-Value Active
93,Tier2,25,3,1950.0,3,New/Low-Value Active
94,Tier2,42,6,5667.0,1,At-Risk High-Value
95,Tier2,11,5,1253.0,0,Champions
96,Tier1,111,7,1818.0,2,Dormant/Churned
97,Tier2,70,5,5625.0,1,At-Risk High-Value
98,Tier3,16,4,104.0,3,New/Low-Value Active
99,Tier3,1,2,556.0,3,New/Low-Value Active
100,Tier2,11,8,156.0,0,Champions
101,Tier2,24,6,3202.0,0,Champions
102,Tier3,127,3,1412.0,2,Dormant/Churned
103,Tier3,17,2,636.0,3,New/Low-Value Active
104,Tier2,6,2,2020.0,3,New/Low-Value Active
105,Tier3,174,4,2482.0,2,Dormant/Churned
106,Tier3,27,2,451.0,3,New/Low-Value Active
107,Tier2,5,4,518.0,3,New/Low-Value Active
108,Tier2,29,1,599.0,3,New/Low-Value Active
